0,1,2,3,4,5,6,7,8,9,10,11,12,Label
-250.16238,80.52723,-3.3886294,20.19504,2.4497015,6.5189743,-2.143918,1.2607573,2.7265258,3.8601558,-1.5017643,1.223197,2.976692,0
-298.99747,95.565956,3.2689078,17.60983,10.772176,13.894494,8.445827,5.7529135,4.081434,2.886161,0.86283743,0.6525878,0.32565248,0
-278.52634,86.86811,0.96672297,20.460825,11.235075,19.191235,6.158282,0.78208053,-2.9525454,2.9535856,-0.95641273,0.76294774,-1.2220305,0
-221.19234,36.227886,-13.72366,11.798586,-5.2767043,0.59974307,-5.57819,1.0668525,0.41163144,0.35375276,-1.4536142,1.5076087,0.92773235,0
-266.50046,70.58697,3.6479633,1.6808956,4.888672,4.2952795,3.206484,-2.5102735,-9.663295,-0.42983386,7.209886,7.469501,0.42204353,0
-268.09467,72.782845,2.8705823,-2.662731,6.132687,3.254868,6.144588,1.1065253,-7.761455,-1.2444032,8.476832,8.156021,0.23964514,0
-274.69482,59.574383,15.718647,8.337086,4.988368,5.9675565,4.439437,2.5862324,1.3356504,1.1094542,-6.267969,-8.123419,-7.7962785,0
-249.84814,78.18498,-1.6224443,20.954308,3.6850243,9.220829,0.5878603,1.3317798,0.087182835,0.11188051,-0.809064,0.13375045,1.8680923,0
-290.945,86.45849,8.948093,22.999676,8.941353,13.51574,4.1078963,4.413655,2.9600344,5.5760574,0.85178804,1.3245448,1.3269213,0
-253.62614,60.850746,-25.110052,3.1123838,-9.202866,-5.095507,-4.093917,3.5336437,4.0187683,4.457493,-2.2293897,-2.448771,-3.9720533,0
-234.00024,75.22531,2.9167635,20.344717,3.2237072,5.9274755,6.0583067,3.858591,-1.3504025,0.6632804,-3.3861003,0.32036534,-0.5333992,1
-225.18004,71.79982,-6.818339,1.5636975,-9.040269,-4.5613256,-1.5624803,-3.680356,-9.324113,-2.132734,1.1363747,4.882805,1.032654,1
-236.11436,57.31401,-3.7144608,12.600318,-4.418824,0.62365896,-4.762662,1.1014477,-0.8523227,-3.0223534,-5.907478,1.0285524,-2.067965,1
-228.27509,76.58534,-2.649456,18.73059,-2.0313637,2.005694,0.9700639,1.5547378,-3.1727562,0.27959374,-1.269675,3.5080848,3.3243744,1
-217.77571,78.73194,-3.4819126,2.6059847,-9.464546,-5.8148212,0.854748,-1.6820142,-5.6115046,-3.8666458,-6.5604424,-0.11830249,2.2657795,1
-227.49513,74.2456,-2.7628527,15.250655,2.868398,5.1215096,0.5196457,0.40441844,-3.1652703,0.35109267,-1.915776,1.2407926,1.8307312,1
-224.66154,61.15006,3.1498268,7.556269,0.6839524,1.2575513,-0.112986945,-1.1924386,-4.046163,0.8370349,-0.2643796,2.8188963,0.8404869,1
-296.30362,98.786705,5.8341208,22.95281,7.1701093,11.447785,2.1372118,3.167186,4.0219107,5.568687,-0.13052814,1.2417381,0.66861504,1
-272.4789,71.456604,8.379881,-5.146812,6.367423,6.4169874,7.612154,6.015609,-6.605232,-2.4127753,3.5957465,8.124275,2.3220694,1
-226.12257,74.50151,-4.1555533,17.563412,2.8726342,5.4883122,0.35048008,0.12504734,-3.2556207,0.8119858,-0.97472227,1.6782856,1.0741735,1
